"X1"	"X2"	"X3"
3.6515	0.741999868882972	16.8399492652892
3.6516	0.74197387532325	16.8403063646474
3.6517	0.741947883638041	16.8406634540787
3.6518	0.741921893827139	16.8410205335835
3.6519	0.741895905890334	16.8413776031626
3.652	0.741869919827422	16.8417346628164
3.6521	0.741843935638192	16.8420917125455
3.6522	0.74181795332244	16.8424487523504
3.6523	0.741791972879955	16.8428057822318
3.6524	0.741765994310532	16.8431628021902
3.6525	0.741740017613963	16.8435198122261
3.6526	0.741714042790041	16.8438768123402
3.6527	0.741688069838557	16.844233802533
3.6528	0.741662098759306	16.844590782805
3.6529	0.741636129552079	16.8449477531568
3.653	0.74161016221667	16.8453047135891
3.6531	0.74158419675287	16.8456616641022
3.6532	0.741558233160473	16.8460186046969
3.6533	0.741532271439273	16.8463755353737
3.6534	0.741506311589061	16.8467324561331
3.6535	0.74148035360963	16.8470893669757
3.6536	0.741454397500774	16.847446267902
3.6537	0.741428443262286	16.8478031589127
3.6538	0.741402490893958	16.8481600400083
3.6539	0.741376540395583	16.8485169111894
3.654	0.741350591766956	16.8488737724564
3.6541	0.741324645007868	16.8492306238101
3.6542	0.741298700118113	16.8495874652509
3.6543	0.741272757097484	16.8499442967794
3.6544	0.741246815945773	16.8503011183961
3.6545	0.741220876662775	16.8506579301017
3.6546	0.741194939248284	16.8510147318967
3.6547	0.74116900370209	16.8513715237817
3.6548	0.741143070023989	16.8517283057572
3.6549	0.741117138213774	16.8520850778237
3.655	0.741091208271237	16.852441839982
3.6551	0.741065280196173	16.8527985922324
3.6552	0.741039353988374	16.8531553345756
3.6553	0.741013429647635	16.8535120670121
3.6554	0.740987507173749	16.8538687895425
3.6555	0.740961586566508	16.8542255021674
3.6556	0.740935667825707	16.8545822048873
3.6557	0.74090975095114	16.8549388977028
3.6558	0.7408838359426	16.8552955806144
3.6559	0.74085792279988	16.8556522536228
3.656	0.740832011522775	16.8560089167284
3.6561	0.740806102111077	16.8563655699318
3.6562	0.740780194564582	16.8567222132336
3.6563	0.740754288883082	16.8570788466344
3.6564	0.740728385066371	16.8574354701346
3.6565	0.740702483114243	16.857792083735
3.6566	0.740676583026493	16.858148687436
3.6567	0.740650684802913	16.8585052812382
3.6568	0.740624788443298	16.8588618651421
3.6569	0.740598893947442	16.8592184391484
3.657	0.740573001315138	16.8595750032575
3.6571	0.740547110546182	16.8599315574701
3.6572	0.740521221640366	16.8602881017867
3.6573	0.740495334597484	16.8606446362078
3.6574	0.740469449417332	16.861001160734
3.6575	0.740443566099703	16.861357675366
3.6576	0.740417684644392	16.8617141801042
3.6577	0.740391805051191	16.8620706749491
3.6578	0.740365927319897	16.8624271599015
3.6579	0.740340051450302	16.8627836349617
3.658	0.740314177442201	16.8631401001305
3.6581	0.74028830529539	16.8634965554083
3.6582	0.74026243500966	16.8638530007957
3.6583	0.740236566584809	16.8642094362932
3.6584	0.740210700020629	16.8645658619015
3.6585	0.740184835316915	16.864922277621
3.6586	0.740158972473461	16.8652786834524
